Id,Title,Release_date,Rating,Times_listed,Number_of_reviews,Summary,Plays,Playing,Backlogs,Wishlist
497,The Last of Us Part I,"Sep 01, 2022",4.4,395,395,"Experience the emotional storytelling and unforgettable characters of Joel and Ellie in The Last of Us, winner of over 200 Game of the Year awards and now rebuilt for PlayStation 5.
             

              Enjoy a total overhaul of the original experience, faithfully reproduced but incorporating modernized gameplay, improved controls and expanded accessibility options. Plus, feel immersed with improved effects and enhanced exploration and combat.
             

              It also includes the Left Behind story DLC.",14000,131,678,11000
498,Super Meat Boy,"oct. 20, 2010",3.5,605,605,Super Meat Boy is a tough as nails platformer where you play as an animated cube of meat who's trying to save his girlfriend (who happens to be made of bandages) from an evil fetus in a jar wearing a tux.,10000,153,18000,501
499,Mass Effect Legendary Edition,"May 14, 2021",4.5,581,581,"One person is all that stands between humanity and the greatest threat it’s ever faced. Relive the legend of Commander Shepard in the highly acclaimed Mass Effect trilogy with the Mass Effect Legendary Edition. Includes single-player base content and over 40 DLCs from Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors and packs. Experience an amazingly rich and detailed universe where your decisions have profound consequences on the action and the outcome.",28000,596,24000,930
500,Helltaker,"May 11, 2020",3.3,419,419,Helltaker is a short game about sharply dressed demon girls.,75000,59,11000,445
501,Pokémon Sword,"nov. 15, 2019",2.9,837,837,"Unsheathe your sword and take up your shield!
             

              The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!",97000,301,924,500
502,Crash Bandicoot N. Sane Trilogy,"Jun 30, 2017",3.8,654,654,"Crash Bandicoot N. Sane Trilogy is a remastered version, of the original 3 games (Crash Bandicoot, Crash Bandicoot 2: Cortex Strikes Back, and Crash Bandicoot 3: Warped) with enhanced features applied to each game.",77000,364,26000,986
503,Tetris,"nov. 01, 1989",4.1,688,688,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.
             

              The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",96000,54,175,66
504,Valorant,"Jun 02, 2020",2.5,291,291,"Valorant is a character-based 5v5 tactical shooter set on the global stage. Outwit, outplay, and outshine your competition with tactical abilities, precise gunplay, and adaptive teamwork.",82000,650,291,110
505,Super Mario 3D World,"nov. 21, 2013",3.9,11000,11000,"Super Mario 3D World is a 3D platformer action game for the Wii U, and a follow-up of the Nintendo 3DS installment Super Mario 3D Land. The game builds upon the previous installment, following a similar 3D level-design convention inspired from the 2D platformer titles where players must navigate through a linear-designed level within a time limit to reach a level's Goal Pole. One key aspect introduced in this title is the simultaneous multiplayer: while not the first game in the series to do so, it is the first 3D title in the Mario series to incorporate up to four players cooperating with each other to reach the goal. Players can select their character from a pool of playable characters prior to starting the game, and each of these characters have their own unique playstyle that gives them advantages and disadvantages over other characters. The game makes use of several Wii U exclusive features, such as tapping blocks with the touch screen on the GamePad and blowing into the mic to reveal hidden items and blow away enemies. Various new power-ups are introduced in this title, with the trademark suit being the Cat power-up, which enables characters to perform a melee attack, climb up walls, and leap while midair, as well as the game generally having a cat-based theme.",96000,93,787,432
506,Uncharted 3: Drake's Deception,"nov. 01, 2011",3.6,941,941,"A search for the fabled ""Atlantis of the Sands"" propels fortune hunter Nathan Drake on a trek into the heart of the Arabian Desert. When the terrible secrets of this lost city are unearthed, Drake's quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears.",11000,60,15000,477
507,Phoenix Wright: Ace Attorney - Trials and Tribulations,"Mar 31, 2006",4.4,995,995,"Phoenix Wright: Ace Attorney − Trials and Tribulations (known as Gyakuten Saiaban 3 in Japan) is the third game in the Ace Attorney series. Players take on the role of Phoenix Wright, a defense attorney known for taking on seemingly impossible cases. While the game focuses on a few specific cases, the overarching story of the Phoenix Wright franchise spans the length of the series, involving obscure characters from large families and intricate webs of lies, plots, and murder. The nature of the series remains generally lighthearted, something that's reinforced by its playful, anime-inspired visual style, but the nature of the crimes committed can be cold and downright disturbing. While the game's legal acumen is highly dubious, its aim seems to be more about producing comedic or stereotypically dramatic courtroom moments. Ace Attorney 3 makes light use of the DS touch screen, allowing the player to examine crime scenes and inspect evidence and character profiles. The top screen is used more for storytelling purposes, displaying various dialogue and conversations between characters. During these sequences the lower screen becomes a selection menu, displaying a series of questions to ask witnesses and further your investigation in search of evidence to use in defense of your client in each chapter.",66000,172,16000,623
